GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons DbUtils,org.apache.commons.dbutils,ResultSetIterator,32,34,0,2,13,9,3,5,3,4
Apache Commons DbUtils,org.apache.commons.dbutils,QueryLoader,16,72,2,4,2,21,2,7,0,6
Apache Commons DbUtils,org.apache.commons.dbutils,DbUtils.DriverProxy,88,0,2,0,23,0,9,0,8,0
Apache Commons DbUtils,org.apache.commons.dbutils,BasicRowProcessor,6,95,3,5,1,24,3,9,1,7
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,27,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,22,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,27,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,26,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,31,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,21,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,26,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,21,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,26,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,AbstractQueryRunner,105,312,5,29,17,88,6,28,1,16
Apache Commons DbUtils,org.apache.commons.dbutils,DbUtils,101,63,11,11,38,42,13,17,7,12
Apache Commons DbUtils,org.apache.commons.dbutils,BeanProcessor,280,419,52,66,54,99,38,33,0,12
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.BatchCallableStatement,54,0,2,0,15,0,3,0,2,0
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.UpdateCallableStatement,52,0,2,0,15,0,3,0,2,0
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner,29,206,0,0,4,28,3,20,3,20
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.QueryCallableStatement,68,0,2,0,19,0,3,0,2,0
Apache Commons DbUtils,org.apache.commons.dbutils,BasicRowProcessor.CaseInsensitiveHashMap,49,39,2,0,10,8,4,3,3,3
Apache Commons DbUtils,org.apache.commons.dbutils,ResultSetIterator.new Iterable() {...},12,0,0,0,2,0,2,0,2,0
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},26,0,0,0,2,0,2,0,2,0
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,31,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},31,0,0,0,2,0,2,0,2,0
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,21,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,22,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,26,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,26,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,ProxyFactory,0,66,0,0,0,12,0,11,0,11
Apache Commons DbUtils,org.apache.commons.dbutils,GenerousBeanProcessor,4,65,3,9,1,16,3,5,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,BaseResultSetHandler,1048,0,2,0,291,0,193,0,192,0
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,22,0,0,0,2,0,2,0,2
