Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"ArrayEnumeration",4,0.33,1.25,13,0.09,1156.11,6,2,3,4,0,181.41,5,26,2.00
"ArrayStack",6,0.00,2.00,27,0.28,7487.23,6,0,2,6,0,72.64,50,43,6.00
"BinaryHeap",16,0.13,1.94,89,0.94,46739.74,20,4,1,16,1,100.73,77,146,14.00
"CollectionUtils",10,0.00,2.90,99,1.34,50979.05,10,0,8,10,2,54.01,91,124,26.00
"CursorableLinkedList",45,0.00,2.33,301,3.41,130070.59,49,4,12,47,2,62.43,409,376,18.00
"CursorableLinkedList$Cursor",10,0.67,2.20,50,0.43,11812.45,11,1,12,10,0,120.23,0,70,11.00
"CursorableLinkedList$ListIter",11,0.28,1.82,75,0.71,19042.18,15,4,12,11,0,113.98,0,100,16.00
"CursorableLinkedList$Listable",7,0.11,1.00,22,0.11,1020.29,10,3,12,7,0,163.12,1,30,4.00
"CursorableSubList",35,0.26,1.37,148,1.28,43040.19,38,3,0,35,1,171.50,25,199,11.00
"ExtendedProperties",52,0.08,2.83,401,4.76,227915.95,59,7,18,54,1,87.52,723,842,24.00
"ExtendedProperties$PropertiesReader",2,0.00,3.00,16,0.19,8573.89,2,0,18,2,0,58.51,17,36,10.00
"ExtendedProperties$PropertiesTokenizer",3,0.50,1.67,16,0.15,4445.31,4,1,18,3,0,71.90,23,31,5.00
"FastArrayList",34,0.41,2.06,229,2.19,99030.38,36,2,6,34,3,66.63,255,367,19.00
"FastHashMap",21,0.33,2.38,138,1.40,70209.59,23,2,7,21,3,76.66,132,225,17.00
"FastTreeMap",27,0.35,2.30,168,1.64,76901.52,29,2,9,27,3,81.43,162,279,17.00
"ListUtils",4,0.00,1.75,21,0.24,7362.90,4,0,3,4,0,164.99,6,38,9.00
"PriorityQueue",5,0.00,1.00,6,0.19,1978.27,5,0,1,5,2,129.49,25,8,0.00
"SynchronizedPriorityQueue",7,0.00,1.00,16,0.11,1450.14,8,1,1,7,1,128.62,32,33,5.00
"TestAll",3,0.00,1.00,22,0.26,10451.38,3,0,1,3,8,155.53,5,26,16.00
"TestCollectionUtils",18,0.26,1.00,199,2.70,161177.08,20,2,2,18,2,134.41,4,218,17.00
"TestCursorableLinkedList",35,0.12,1.26,748,8.99,577435.90,36,1,2,35,3,128.74,13,794,17.00
"TestFastArrayList",5,0.00,1.00,14,0.12,1688.72,5,0,5,5,3,183.47,4,26,7.00
"TestFastArrayList1",5,0.00,1.00,14,0.12,1688.72,5,0,5,5,3,183.64,6,26,7.00
"TestFastHashMap",5,0.00,1.00,14,0.12,1688.72,5,0,5,5,3,183.47,4,25,7.00
"TestFastHashMap1",5,0.00,1.00,14,0.12,1688.72,5,0,5,5,3,183.64,6,25,7.00
"TestFastTreeMap",5,0.00,1.00,14,0.12,1688.72,5,0,5,5,3,183.47,4,25,7.00
"TestFastTreeMap1",5,0.00,1.00,14,0.12,1688.72,5,0,5,5,3,183.64,6,25,7.00
"TestList",17,0.00,4.65,225,2.58,123556.60,17,0,6,17,1,85.82,79,302,31.00
"TestMap",4,0.00,2.25,16,0.15,2999.52,4,0,3,4,1,167.17,86,26,17.00
"TestObject",5,0.00,1.40,17,0.15,2637.44,5,0,5,5,1,145.90,16,24,4.00
System overview for No System Name
Name, No. Packages, NOS, AVCC, HBUG, HEFF, MI, CCML, NLOC
"No System Name",1,3290,2.01,34.98,1697606.03,59.11,3443,4682
