Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"AbstractAnyAllOnePredicateTest",4,0.00,1.00,14,0.20,3531.13,4,0,6,4,3,101.71,22,27,6.00
"AbstractArrayListTest",4,0.00,1.25,17,0.20,4033.16,4,0,2,4,2,154.34,10,25,7.00
"AbstractBagDecorator",7,1.00,1.00,16,0.16,2556.01,8,1,3,7,5,146.03,25,26,5.00
"AbstractBagTest",29,0.00,1.97,382,5.33,375747.36,29,0,15,29,13,121.96,80,462,27.00
"AbstractBagTest$TestBagUniqueSet",12,0.00,1.00,29,0.32,5367.75,12,0,15,12,2,135.60,0,53,14.00
"AbstractBidiMapDecorator",7,0.00,1.00,15,0.17,2734.70,7,0,4,7,5,141.07,27,27,7.00
"AbstractBidiMapTest",29,0.00,1.48,215,3.10,184402.84,29,0,10,29,13,152.40,50,291,29.00
"AbstractBidiMapTest$TestBidiMapEntrySet",2,0.00,3.00,41,0.73,56763.61,2,0,10,2,1,106.93,6,50,74.00
"AbstractBidiMapTest$TestBidiMapIterator",9,0.00,1.00,22,0.22,2693.71,9,0,10,9,4,170.48,2,40,6.00
"AbstractBidiMapTest$TestInverseBidiMap",12,0.09,1.00,27,0.24,3276.77,13,1,10,12,2,138.45,0,51,7.00
"AbstractBitwiseTrie",10,0.22,1.60,41,0.46,11344.28,12,2,5,10,3,112.69,46,57,8.00
"AbstractBitwiseTrie$BasicEntry",9,0.12,1.33,33,0.35,10816.94,12,3,5,9,0,173.30,6,50,17.00
"AbstractClosureTest",2,0.00,1.00,5,0.05,885.21,2,0,3,2,2,182.06,3,8,5.00
"AbstractCollectionDecorator",20,0.45,1.05,45,0.43,7638.44,22,2,3,20,8,172.77,45,71,10.00
"AbstractCollectionTest",48,0.49,2.81,603,7.61,462258.26,50,2,18,48,15,47.99,430,786,33.00
"AbstractComparatorTest",14,0.00,1.21,64,0.83,23110.95,14,0,9,14,8,108.97,65,97,11.00
"AbstractCompositePredicateTest",11,0.00,1.09,34,0.51,11670.59,11,0,7,11,3,110.77,55,51,12.00
"AbstractDualBidiMap",26,0.02,1.35,90,0.99,24627.26,32,6,10,26,19,108.64,131,126,14.00
"AbstractDualBidiMap$BidiMapIterator",9,0.28,1.67,45,0.47,9814.25,13,4,10,9,3,169.19,12,67,7.00
"AbstractDualBidiMap$EntrySet",3,1.00,2.00,18,0.32,12643.15,4,1,10,3,1,126.69,10,27,14.00
"AbstractDualBidiMap$EntrySetIterator",3,0.50,1.33,19,0.24,5029.12,6,3,10,3,2,115.64,12,26,6.00
"AbstractDualBidiMap$KeySet",4,1.00,1.25,14,0.20,3992.21,5,1,10,4,1,157.52,10,24,3.00
"AbstractDualBidiMap$KeySetIterator",3,0.33,1.33,19,0.18,3924.60,6,3,10,3,2,123.14,11,26,3.00
"AbstractDualBidiMap$MapEntry",2,1.00,1.50,11,0.17,4618.33,3,1,10,2,2,107.33,9,18,7.00
"AbstractDualBidiMap$Values",4,1.00,1.25,14,0.19,3899.85,5,1,10,4,1,157.60,10,24,3.00
"AbstractDualBidiMap$ValuesIterator",3,0.33,1.33,18,0.18,3655.66,6,3,10,3,2,124.26,11,26,2.00
"AbstractDualBidiMap$View",4,0.17,2.50,29,0.33,10715.65,6,2,10,4,2,89.49,21,43,7.00
"AbstractEmptyIterator",11,0.00,1.00,22,0.12,1028.12,11,0,1,11,4,193.88,10,34,6.00
"AbstractEmptyMapIterator",4,0.00,1.00,9,0.06,548.73,4,0,0,4,3,176.28,9,14,4.00
"AbstractHashedMap",51,0.00,2.10,348,4.38,198524.14,70,19,17,52,32,61.18,469,466,20.00
"AbstractHashedMap$EntrySet",6,0.20,1.50,25,0.34,10795.59,7,1,17,6,1,169.81,4,40,10.00
"AbstractHashedMap$EntrySetIterator",2,0.00,1.00,5,0.07,893.55,2,0,17,2,1,182.02,3,8,4.00
"AbstractHashedMap$HashEntry",7,0.21,1.43,32,0.46,17619.02,11,4,17,7,1,161.45,13,52,50.00
"AbstractHashedMap$HashIterator",6,0.28,2.17,48,0.53,21027.15,11,5,17,6,1,157.46,8,63,7.00
"AbstractHashedMap$HashMapIterator",5,0.00,1.60,20,0.23,5885.70,5,0,17,5,2,170.86,3,29,10.00
